Latitude,Longitude,WaterDepth,ObsvnTop,ObsvnBot,LocnName,DataSetKey,LocnKey,ObsvnKey,Device,DataTypes,Gravel,Sand,Mud,Clay,Grainsze,Sorting,Facies,FacMshp,FolkCde,RckMshp,VegMshp,Carbonate,MunslColr,OrgCarbn,lShearStr,Porosity,PWaveVel,Roughness,lCritShStr,GeolAge,ObsvnDetai,Key,ObsvnDate,DateSrc
47.47833,-123.065,155,-99,-99,OA427_34,166,144303,181175,UnidDevice,TXR,0,1,99,76,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168586,<1974,collection date
47.48442,-124.8117,-99,0,0,NORDA-3,161,142356,178927,UnidDevice,TXR.ACU.CMP,0,27,73,23,-99,-99,-,-99,-,-99,-99,1,-,-99,-99,57,-99,-,-99,-,top,ext_0168587,19820503,collection date
47.48442,-124.8117,-99,0.4,0.4,NORDA-3,161,142356,178928,UnidDevice,ACU.CMP,-99,-99,-99,-99,-99,-99,-,-99,-,-99,-99,1,-,-99,-99,71,-99,-,-99,-,-,ext_0168588,19820503,collection date
47.48442,-124.8117,-99,0.75,0.75,NORDA-3,161,142356,178929,UnidDevice,TXR.ACU.CMP,0,17,83,19,-99,-99,-,-99,-,-99,-99,1,-,-99,-99,57,-99,-,-99,-,-,ext_0168589,19820503,collection date
47.48442,-124.8117,-99,1.15,1.15,NORDA-3,161,142356,178930,UnidDevice,ACU.CMP,-99,-99,-99,-99,-99,-99,-,-99,-,-99,-99,1,-,-99,-99,77,-99,-,-99,-,-,ext_0168590,19820503,collection date
47.48442,-124.8117,-99,1.4,1.4,NORDA-3,161,142356,178931,UnidDevice,TXR.ACU.CMP,0,35,65,17,-99,-99,-,-99,-,-99,-99,0,-,-99,-99,55,-99,-,-99,-,-,ext_0168591,19820503,collection date
47.48567,-122.4532,20,0,0,TC_3838_37,29,1924,6880,UnidDevice,TXR,1,93,6,2,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168592,19890321,collection date
47.48567,-122.4532,20,0,0,TC_3838_37,29,1924,6881,UnidDevice,GRZ,1,93,6,1,2.2,1.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168593,19890321,collection date
47.48567,-122.4532,20,0,0,TC_3838_37,29,1924,6882,UnidDevice,GRZ.CMP,1,93,6,1,2.2,1.5,-,-99,-,-99,-99,-99,-,0.2,-99,-99,-99,-,-99,-,surface,ext_0168594,19890321,collection date
47.48667,-124.3617,6,-99,-99,OC014-56-AAA,167,144498,181781,UnidDevice,LTH.TXR,0,99,1,0,2.9,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168595,<1968,collection date
47.48667,-124.3617,6,-99,-99,OC014-56-AAA,167,144498,181782,UnidDevice,GRZ,0,99,1,0,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168596,<1968,collection date
47.48667,-124.3617,6,-99,-99,OC014-56-BBB,167,144499,181783,UnidDevice,LTH.TXR,0,99,1,0,2.9,0.4,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168597,<1968,collection date
47.48667,-124.3617,6,-99,-99,OC014-56-BBB,167,144499,181784,UnidDevice,GRZ,0,99,1,-99,2.9,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168598,<1968,collection date
47.48833,-122.4967,95,0,-99,CH020_S22,166,144082,180954,GravityCorer,TXR,1,86,14,8,2.1,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168599,195209,collection date
47.49333,-124.3867,13,-99,-99,OC014-57-AAA,167,144500,181785,UnidDevice,LTH.TXR,0,98,2,0,2.9,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168600,<1968,collection date
47.49333,-124.3867,13,-99,-99,OC014-57-AAA,167,144500,181786,UnidDevice,GRZ,0,99,1,0,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168601,<1968,collection date
47.49333,-124.3867,13,-99,-99,OC014-57-BBB,167,144501,181787,UnidDevice,LTH.TXR,0,98,2,1,2.9,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168602,<1968,collection date
